1	Jahr	75914
2	Mensch	44655
3	Zeit	35575
4	Kind	34420
5	Tag	30458
6	Leben	25061
7	Deutschland	24972
8	Seite	24356
9	Thema	23761
10	Frage	23570
11	Information	20477
12	Unternehmen	19592
13	Frau	19566
14	Fall	18771
15	Möglichkeit	18534
16	Arbeit	18434
17	Welt	18063
18	Uhr	17780
19	Bereich	17365
20	Kunde	17329
21	Weg	17145
22	Stadt	17014
23	Land	16996
24	Teil	16291
25	Bild	16152
26	Projekt	15716
27	Angebot	15274
28	Haus	14985
29	Beispiel	14636
30	Buch	14613
31	Euro	14606
32	Ziel	14292
33	Kirche	14035
34	Datum	14015
35	Woche	13548
36	Art	13443
37	Ende	13328
38	Person	13295
39	Grund	13098
40	Berlin	12761
41	Problem	12707
42	Gott	12698
43	Internet	12693
44	Ort	12386
45	Inhalt	12306
46	Produkt	12225
47	Geschichte	11859
48	Entwicklung	11804
49	Familie	11793
50	Mitglied	11720
51	Monat	11497
52	Rahmen	11171
53	Form	11128
55	Name	11110
56	Erfahrung	11102
57	Schule	10922
58	Mann	10905
59	Artikel	10812
60	Preis	10751
61	Verfügung	10546
62	Beitrag	10234
63	Programm	10227
64	Wort	10072
65	Herr	9680
66	Gruppe	9606
67	Aufgabe	9290
68	Recht	9287
69	Ergebnis	9246
70	Prozent	9123
71	Platz	9047
72	Sinn	9029
73	Hilfe	9016
74	Veranstaltung	9012
75	Gesellschaft	8970
76	Mitarbeiter	8943
77	Jugendliche	8941
78	Gemeinde	8925
79	Text	8856
80	Geld	8822
81	Idee	8791
82	Raum	8786
83	Stunde	8694
84	Hand	8441
85	Juni	8273
86	Website	8153
87	Stelle	8116
88	Mai	8115
89	Spiel	8043
90	Wasser	7957
91	Regel	7826
92	Zukunft	7752
93	Weise	7667
94	Leistung	7660
95	Eltern	7634
96	Foto	7586
97	Interesse	7568
98	Blick	7540
99	Kosten	7472
100	Verein	7412
101	Mal	7374
102	Freund	7291
103	Region	7239
104	Erfolg	7231
105	Film	7214
106	Liebe	7136
107	Europa	7032
108	Hotel	6982
109	System	6974
110	Gast	6957
111	Kontakt	6954
112	Google	6861
113	Wert	6859
114	Schüler	6834
115	Einsatz	6821
116	GmbH	6801
117	Anfang	6730
118	Webseite	6719
119	Bedeutung	6534
120	Minute	6528
121	Wunsch	6507
122	Punkt	6464
123	Jahrhundert	6439
124	Kraft	6436
125	Lösung	6408
126	Unterstützung	6400
127	Anspruch	6392
128	Körper	6385
129	Qualität	6374
130	Herz	6365
131	April	6362
132	Schritt	6346
133	Universität	6336
134	Million	6333
135	Teilnehmer	6306
136	Energie	6305
137	Besucher	6289
138	Partner	6279
139	Medium	6211
140	Team	6210
141	Entscheidung	6170
142	Natur	6091
143	Musik	6021
144	März	5994
145	Rolle	5964
146	Ausbildung	5881
147	September	5860
148	Antwort	5834
149	Sache	5807
150	Hinweis	5792
151	Situation	5775
152	München	5774
153	Zahl	5753
154	Vorteil	5747
155	Auge	5717
156	Firma	5713
157	Leute	5682
158	E-Mail	5671
159	Sprache	5663
160	Straße	5639
161	Nutzung	5626
162	Markt	5610
163	Folge	5580
164	Einrichtung	5563
165	Grundlage	5537
166	Gespräch	5523
167	Funktion	5517
168	Suche	5482
169	Staat	5451
170	Zusammenarbeit	5440
171	Organisation	5430
172	Oktober	5408
173	Autor	5395
174	Spaß	5362
175	Höhe	5361
176	Kultur	5351
177	Farbe	5346
178	Schweiz	5314
179	Hamburg	5312
180	Tier	5310
181	Werk	5308
182	Arzt	5280
183	Maßnahme	5241
184	Lage	5233
185	Reise	5232
186	November	5213
187	Auswahl	5209
188	Zusammenhang	5202
189	Kommentar	5202
190	Wahl	5182
191	Glaube	5177
192	Studie	5170
193	Nutzer	5165
194	Geist	5157
195	Beratung	5133
196	Begriff	5128
197	Sicherheit	5123
198	Richtung	5112
199	Chance	5106
200	Wissen	5083
